"URL","Company Name","PSI","FirstContentfulPaint","TimeToInteractive"
"https://procoders.tech/","Procoders","46","2.5 s","11.5 s"
"https://edition.cnn.com/","CNN","0","9.4 s","38.9 s"
"https://www.bbc.com/","BBC","21","4.2 s","17.6 s"
